tot_pop,0-9,19-oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,white-alone_pop,pop_estimate_2018,high_school_diploma_only_2014-18,some_college_or_associate's_degree_2014-,bachelor's_degree_or_higher_2014-18,povall_2018,civilian_labor_force_2018,employed_2018,unemployed_2018,total_nurse_practitioners_(2019),total_physician_assistants_(2019),family_medicine/general_practice_primary,total_specialist_physicians_(2019),total_population,population_aged_60+,county_pop2018_18_and_older,anycondition_number,obesity_number,copd_number,diabetes_number,ckd_number,target
-0.2818677046118588,-0.2697399312485485,-0.2855876414254531,-0.27192611851472853,-0.2624676063537486,-0.2745459794074942,-0.2859268907168538,-0.30293475945265413,-0.31183331880310716,-0.28184222050644,-0.2940135391641046,-0.2818677046118588,-0.325465057981948,-0.2868361568144193,-0.2561045209887751,-0.2657381399358999,-0.27109416817804627,-0.2710501431894049,-0.2667286823701791,-0.30668637795279796,-0.27639646514763955,-0.28311253033450107,-0.2815200862851232,-0.2799990207500035,-0.29866678469885716,-0.283179417130164,-0.3013868279885118,-0.30233212823724176,-0.3351715303257766,-0.2850627500349708,-0.28725309978390906,622
-0.2750407381098423,-0.26596008518650877,-0.2766230957478269,-0.26393738830931324,-0.25411779626289077,-0.26352568592359654,-0.27855222944913877,-0.29861755626311004,-0.30503001674705327,-0.29394648854790534,-0.3010188002625206,-0.2750407381098423,-0.3096053112992281,-0.28959685275841857,-0.2584489917676138,-0.24119999163487543,-0.2777307064497526,-0.27875711932712166,-0.2483642772844676,-0.2859754893441092,-0.3214253227929367,-0.2986555138322892,-0.2822224753720657,-0.2727929781297515,-0.29835731881530175,-0.2762503892414152,-0.2858918810983064,-0.2894384300045954,-0.3087687614955579,-0.2648273626062021,-0.2732800979702885,881
-0.2622053215111895,-0.2670844697745839,-0.27695423991533813,-0.25994302320660556,-0.24176661018717194,-0.24788101041409677,-0.2608764540296949,-0.2639350581565045,-0.27431655891428836,-0.27040120002889056,-0.26818005825424207,-0.2622053215111895,-0.29494586802549805,-0.2680206993389482,-0.22488670152723275,-0.25402824610860136,-0.2527429547606583,-0.25311042709960757,-0.23918207474161185,-0.29091008544701885,-0.25529056700324104,-0.2636070226961382,-0.27476506209054524,-0.2626143667870287,-0.27275308887061334,-0.25930115910148877,-0.2909793212326232,-0.29391093157904463,-0.31124998555430133,-0.26613829302102265,-0.2638353837814524,1030
-0.2160805728651548,-0.2053150866594783,-0.20909333873035232,-0.2211089180413922,-0.20865318239408773,-0.21843220945503833,-0.2211469296763223,-0.22444279005349407,-0.21944644885350614,-0.19304995288719762,-0.22105682174383853,-0.2160805728651548,-0.24435603090233046,-0.18040146854487657,-0.22417207674437817,-0.16074381101248153,-0.21711896539503456,-0.21784854108489393,-0.19585355649251127,-0.22477953802706652,-0.22034981346524787,-0.18493924222325,-0.23071623522575171,-0.20943097023806848,-0.20540354000211034,-0.21792816957481143,-0.21807620296591265,-0.21023620242343324,-0.2256795660925081,-0.19780184344845342,-0.20496764465925463,2176
-0.2636954411209841,-0.2567736238711716,-0.2622656307707316,-0.2419482066832963,-0.24764618306288602,-0.26186919086964955,-0.27045180786618833,-0.28462286404465514,-0.3019734607508552,-0.2588772736058516,-0.27166582896927816,-0.2636954411209841,-0.31413104546427223,-0.25945925536976006,-0.24633798228976247,-0.25321688642393836,-0.25328809897583415,-0.25301161971322655,-0.25467704153268095,-0.27905764283963647,-0.27045497606917784,-0.23890561562123827,-0.2726590673882573,-0.2616032061150407,-0.2843336279868178,-0.26359940029880863,-0.28284750837379474,-0.28089635492546716,-0.31901176337908854,-0.26953326665940414,-0.27185692185964194,924
-0.28482095977412764,-0.28062493098416935,-0.2873852811919428,-0.263675132014691,-0.26254926708813353,-0.2702206867666325,-0.29053898046205967,-0.313394560468932,-0.32021419814752133,-0.3082892171175869,-0.3078301732679599,-0.28482095977412764,-0.32552408929714427,-0.30361395775979577,-0.26440419829140205,-0.25176959617562056,-0.2825066438131413,-0.28338254010208147,-0.2565421764241985,-0.3151692995638419,-0.29293723541709743,-0.31061131933938413,-0.2876090244232458,-0.28405280043197956,-0.316501792198497,-0.2842433382186095,-0.30371309286106224,-0.3061465139643997,-0.32613732990676203,-0.27823918915782786,-0.2854417847339953,606
-0.29839993706338214,-0.2921558537810248,-0.3039188364126835,-0.28342504835585663,-0.274777962062275,-0.28717675419384037,-0.3043752496976774,-0.3231589730519947,-0.3320460278102237,-0.2970969144765059,-0.3167743152961421,-0.29839993706338214,-0.34911693827057017,-0.3096940619221751,-0.26424121369180364,-0.2812636171451272,-0.29079046569157474,-0.2910833407781494,-0.2782064355487488,-0.3254224313983891,-0.31116360933661064,-0.31147420877560833,-0.29694202455827734,-0.2970181949520187,-0.31887979319844895,-0.2983567350573339,-0.31977443467675815,-0.3213637640660542,-0.3505042225862169,-0.29723087337253595,-0.30174362018321926,347
-0.13274181094594123,-0.18014801034766922,-0.1682206871975341,-0.1628678470741346,-0.15583910243064208,-0.13666577304215263,-0.09467734184077797,-0.07073297179489531,-0.046110144294916444,-0.04672095909825015,-0.10810436270933105,-0.13274181094594123,-0.09750579579918003,-0.11738201053751261,-0.09617901695205444,-0.14254303970787893,-0.11880339128418484,-0.11787399245228472,-0.1380343748554664,-0.09120931273437964,-0.010998136183083191,-0.1839557611139763,-0.03201354065991993,-0.12409753738336864,-0.04713617208064881,-0.12092564793628692,-0.13056818697762473,-0.1398043758276024,-0.08055976922087214,-0.11793592894553925,-0.10055826999636765,4202
-0.2916988961621934,-0.2847157770386554,-0.29419738978074583,-0.2786842614915319,-0.2695108446944478,-0.2789402926756037,-0.2949169539765445,-0.31510405703391925,-0.32741189452566527,-0.3065481922623076,-0.30805356607073736,-0.2916988961621934,-0.3391800002125384,-0.302578696780796,-0.26110689446875723,-0.28025489969932993,-0.2834013913837017,-0.28368513772287324,-0.2711763117268749,-0.31722980076400686,-0.30377109645645356,-0.30117388643428766,-0.29155104848161034,-0.2902781390269901,-0.3190752453354313,-0.29220146796018187,-0.31494996361499056,-0.3155481689257043,-0.3459871223767096,-0.29302917332503414,-0.29876788831550377,399
-0.2829740509619879,-0.2813665463507721,-0.2900580876868551,-0.2679519269731457,-0.2629984011272506,-0.2711639686723523,-0.28370278652500325,-0.3053975934869578,-0.3037482352002605,-0.29726272636748485,-0.30858465084715153,-0.2829740509619879,-0.3234973474754071,-0.29886490342755895,-0.2597152567337246,-0.25861133189494107,-0.27754701655116076,-0.2778060982332047,-0.2660113227965185,-0.30900086762540074,-0.2985718268928294,-0.3007600204243058,-0.283265748152871,-0.28150967042863617,-0.30511670521927486,-0.2820574639823487,-0.29615778912282237,-0.29837000221783483,-0.3206022916218728,-0.2722895818905653,-0.27858466347360744,739
